citing,cited,citing_sic,citing_gyear,citing_icl,cited_sic,cited_gyear,cited_icl
6791885,6690026,3674,2004,G11C,3674,2004,H01L
6791885,6707712,3674,2004,G11C,3674,2004,G11C
6791885,6714954,3674,2004,G11C,3674,2004,G06F
6792086,6707889,7372,2004,H04M,7372,2004,H04M
6792106,6700978,3674,2004,H04M,3674,2004,H04M
6792141,6687400,3812,2004,G06K,7372,2004,G06K
6792158,6690356,3570,2004,G06K,3571,2004,G09G
6792332,6685184,3579,2004,G06F,3579,2004,B65H
6792332,6687570,3579,2004,G06F,3579,2004,G06F
6792360,6681633,3562,2004,G06F,1600,2004,E21B
6792426,6684387,7370,2004,G06F,7370,2004,G06F
6792426,6704805,7370,2004,G06F,7370,2004,G06F
6792511,6694479,3570,2004,G06F,3570,2004,G11C
6792520,6701421,3570,2004,G06F,7370,2004,G06F
6792599,6721944,3674,2004,G06F,3571,2004,G06F
6792680,6702398,3714,2004,B21D,3562,2004,B60B
6792680,6708589,3714,2004,B21D,3714,2004,B23B
6792864,6717601,3861,2004,B41F,3861,2004,B41J
6792907,6698390,3714,2004,F02M,3714,2004,F02M
6793133,6685086,3578,2004,G06F,3578,2004,G06F
6793134,6702181,3578,2004,G06F,3578,2004,G06K
6793557,6710983,7370,2004,B24B,7370,2004,G11B
6793588,6679782,3949,2004,A63B,3949,2004,A63B
6793733,6677712,3559,2004,C23C,3559,2004,H01J
6793736,6730367,3674,2004,B08B,3674,2004,B05D
6794664,6689221,3559,2004,H01J,3559,2004,C23C
6794664,6740894,3559,2004,H01J,3559,2004,H01J
6794697,6740947,3570,2004,H01L,3570,2004,H01L
6794792,6680549,9997,2004,H02K,9997,2004,H02K
6794792,6727633,9997,2004,H02K,9997,2004,H02K
6794792,6727634,9997,2004,H02K,3728,2004,H02K
6794951,6677828,3559,2004,H03H,2911,2004,H03H
6795081,6717578,3571,2004,G09G,3571,2004,G06T
6795230,6701035,3570,2004,G02B,3570,2004,G02B
6795279,6700753,3572,2004,G11B,3572,2004,G11B
6795307,6688657,3570,2004,G06F,7370,2004,E05C
6795314,6674641,3570,2004,H05K,3571,2004,G06F
6795326,6704222,3674,2004,G11C,3572,2004,G11C
6795585,6707950,3861,2004,G06K,3861,2004,G06K
6795850,6675262,3571,2004,G06F,3570,2004,G06F
6795850,6711652,3571,2004,G06F,7370,2004,G06F
6795850,6738872,3571,2004,G06F,7370,2004,G06F
6795927,6704877,3674,2004,G06F,3674,2004,G06F
6795928,6704877,7370,2004,G06F,3674,2004,G06F
6795954,6754120,3674,2004,B06F,6794,2004,G11C
6796029,6702398,3714,2004,B21D,3562,2004,B60B
6796029,6708589,3714,2004,B21D,3714,2004,B23B
6796195,6698276,3533,2004,G01N,3533,2004,G01N
6796195,6698277,3533,2004,G01N,3533,2004,G01N
6796437,6711339,3661,2004,A47F,3661,2004,G02B
6796506,6714121,3570,2004,G06K,3674,2004,H04Q
6796551,6691988,3630,2004,F02M,3630,2004,F02M
6796554,6708967,3570,2004,B42C,3570,2004,B65H
6796899,6685561,3990,2004,A63F,3990,2004,A63F
6796962,6682510,3089,2004,A61M,3841,2004,A61M
6797113,6685856,2400,2004,D21C,2400,2004,B29B
6797113,6686039,2400,2004,D21C,2400,2004,D02G
6797382,6673434,3728,2004,B32B,3728,2004,B32B
6797555,6693012,3674,2004,H01L,3674,2004,H01L
6797555,6720213,3674,2004,H01L,7370,2004,H01L
6797555,6747318,3674,2004,H01L,3674,2004,H01L
6797572,6703277,3674,2004,H01L,3674,2004,H01L
6797866,6730829,2820,2004,A01H,2820,2004,A01H
6798044,6683375,3674,2004,H01L,3674,2004,H01L
6798225,6686754,3825,2004,G01R,3825,2004,G01R
6798230,6731179,3674,2004,G01R,7370,2004,H03B
6798240,6744278,3674,2004,G06F,3674,2004,H03K
6798350,6693553,3533,2004,G01V,1389,2004,G01V
6798351,6697603,3663,2004,G08C,3357,2004,H04B
6798366,6725409,7373,2004,H03M,3674,2004,H03M
6798615,6721131,3572,2004,G11B,3572,2004,G11B
6798682,6683805,7370,2004,G11C,7370,2004,G11C
6798688,6683805,7370,2004,G11C,7370,2004,G11C
6798724,6674705,3570,2004,G11B,3570,2004,G11B
6798773,6674760,3663,2004,H04L,3576,2004,H04L
6798788,6674769,3674,2004,H04L,3674,2004,H04L
6798937,6730866,3825,2004,G02B,3825,2004,H01H
6798937,6740829,3825,2004,G02B,3825,2004,H01H
6798937,6743991,3825,2004,G02B,3825,2004,H01H
6798937,6750413,3825,2004,G02B,3825,2004,H01H
6798939,6674933,3825,2004,G02B,3825,2004,G02B
6798939,6718085,3825,2004,G02B,3825,2004,G02B
6799030,6697421,3661,2004,H04B,3674,2004,H04B
6799128,6684169,3825,2004,G01R,3825,2004,G06F
6799173,6728963,3571,2004,G06F,7372,2004,G06F
6799181,6687693,7370,2004,G06F,3578,2004,G06F
6799181,6704717,7370,2004,G06F,3578,2004,G06F
6799181,6718338,7370,2004,G06F,7370,2004,G06F
6799187,6706374,6172,2004,G06F,3674,2004,B32B
6799236,6697834,3571,2004,G06F,3571,2004,G06F
6799253,6675378,7372,2004,G06F,7370,2004,G06F
6799262,6675375,7370,2004,G06F,3571,2004,G06F
6799364,6683581,4813,2004,H01Q,4813,2004,H01Q
6799487,6698309,3620,2004,G05G,3620,2004,G05G
6799559,6681728,3714,2004,F02D,3711,2004,F01L
6799559,6729278,3714,2004,F02D,3711,2004,F01L
6799559,6732959,3714,2004,F02D,3714,2004,B05B
6799754,6691990,3714,2004,F16M,3714,2004,F16M
6799932,6672820,3559,2004,B65G,3559,2004,B65H
6800554,6689689,3674,2004,H01L,3674,2004,H01L
6800637,6693197,2834,2004,C07D,2834,2004,C07D
6800884,6700404,3674,2004,H01L,3674,2004,H03K
